,character_id,character_name,num_of_comics,num_of_series,num_of_stories,num_of_events
651,1009390,Klaw,47,29,51,2
1426,1009709,Weapon X,47,20,48,1
1103,1010345,Sersi,46,22,49,1
777,1009434,Mastermind,46,21,42,1
719,1010726,M.O.D.O.K.,46,27,57,2
1111,1009576,Shaman,46,10,52,2
160,1009208,Brood,45,18,46,3
883,1011271,New X-Men,45,11,50,1
82,1009169,Baron Strucker,45,20,52,1
99,1009329,Ben Grimm,45,17,66,1
923,1009483,Onslaught,45,26,40,1
1339,1009624,Tony Stark,45,27,57,4
104,1009180,Beta-Ray Bill,44,22,50,3
15,1011198,Agents of Atlas,43,13,50,1
1171,1010693,Songbird,43,14,48,2
224,1010756,Champions,43,24,45,1
589,1011288,Jackal,43,21,50,2
51,1010802,Ant-Man (Eric O'Grady),42,13,41,7
1226,1010326,Steve Rogers,42,24,39,1
1095,1011368,Secret Warriors,42,8,70,3
1289,1010359,The Hand,41,22,52,4
400,1009305,Firelord,41,23,47,2
860,1011056,Multiple Man,41,12,51,2
671,1011100,Layla Miller,41,4,42,3
1344,1010825,Triathlon,41,10,48,1
992,1009519,Puppet Master,41,21,50,1
1332,1010669,Titania,41,22,49,1
1475,1010806,X-Statix,41,9,50,1
791,1011241,Menace,41,4,52,1
1358,1010358,Ulik,41,12,50,1
256,1009251,Crimson Dynamo,40,25,42,1
156,1010371,Boomerang,40,23,45,1
1025,1011436,Red She-Hulk,40,9,43,4
540,1009357,Husk,40,17,50,3
1240,1009631,Sue Storm,40,16,59,1
76,1009164,Avalanche,40,18,47,7
956,1011179,Pixie,39,12,40,4
996,1014528,Quake (Daisy Johnson),39,12,40,5
223,1009234,Chameleon,39,19,42,2
221,1009232,Ch'od,39,14,34,2
1290,1010715,The Hood,39,13,41,3
1223,1009625,Stepford Cuckoos,39,13,40,5
335,1009279,Doop,39,12,52,1
173,1017317,Cable (Deadpool),38,10,29,2
1216,1011084,Starfox,38,15,41,1
507,1009342,Hepzibah,38,13,35,2
511,1011300,High Evolutionary,38,28,42,2
1133,1009585,Shocker (Herman Schultz),38,25,42,4
716,1011068,M (Monet St. Croix),38,7,43,2
893,1010684,Night Thrasher,38,11,62,4
998,1010778,Quasar (Wendell Vaughn),37,18,39,5
1352,1010369,Typhoid Mary,37,18,48,2
88,1009171,Bastion,37,20,37,2
468,1010743,Groot,37,16,40,2
1210,1009618,Stacy X,37,19,36,1
616,1009380,Joseph,37,9,44,1
518,1009347,Hobgoblin (Roderick Kingsley),37,20,36,2
1094,1009581,Sebastian Shaw,37,21,38,5
311,1009271,Destiny,37,17,38,4
83,1009170,Baron Zemo (Heinrich Zemo),37,23,40,1
837,1010362,Moonstone,37,19,41,4
199,1011095,Captain Marvel (Monica Rambeau),36,15,36,1
685,1010450,Lightspeed,36,8,43,2
134,1009195,Blastaar,36,22,46,3
343,1009283,Dragon Man,36,19,44,2
469,1009330,Guardian,36,19,39,2
302,1009270,Deathbird,36,12,40,3
1321,1009667,Thunderbird (Neal Shaara),36,8,47,1
810,1009445,Mimic,36,13,41,1
1387,1009691,Vengeance (Michael Badilino),36,3,59,1
459,1010702,Gravity,35,12,38,4
365,1010701,Elsa Bloodstone,35,16,36,2
1177,1010694,Speedball (Robert Baldwin),35,12,43,2
1016,1009531,Raza,35,13,31,2
774,1010367,Masque,35,12,34,3
237,1010809,Clint Barton,34,8,38,1
